name,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,units
FLBm_123,108.343,109.740,109.781,107.854,103.422,96.711,88.781,76.996,64.222,57.322,55.218,59.049,61.285,63.139,63.654,62.924,63.382,63.896,64.353,64.761,65.132,65.503,65.862,66.200,66.486,66.762,67.025,67.278,67.517,67.747,67.974,$/bbl
FLBm_16m,,108.804,109.003,108.099,106.581,103.246,98.317,90.209,80.467,73.051,66.107,61.636,59.303,59.179,61.352,62.104,63.261,63.775,63.638,64.072,64.514,64.928,65.312,65.666,65.995,66.312,66.613,66.882,67.140,67.386,67.626,$/bbl
DtdBrent,111.654,106.635,101.607,97.297,87.403,78.894,62.526,47.859,58.132,55.924,59.763,64.318,61.311,61.937,62.556,63.065,63.565,63.983,64.350,64.853,65.258,65.590,65.987,66.277,66.546,66.800,67.042,67.275,67.493,67.727,67.988,$/bbl
DtdBrent6m,,108.926,108.657,107.447,105.739,102.368,97.248,89.060,79.264,72.018,65.123,60.516,58.087,57.884,60.231,60.968,62.158,62.792,62.736,63.242,63.729,64.179,64.600,65.003,65.386,65.752,66.076,66.374,66.655,66.906,67.147,$/bbl
JCCm,109.170,111.620,110.540,106.220,100.740,100.740,79.130,63.360,63.360,49.540,56.090,60.760,64.318,62.311,62.311,63.568,64.065,64.065,64.983,65.364,65.842,66.258,66.602,66.602,67.276,67.546,67.800,68.047,68.047,68.493,68.727,$/bbl
JCCm_345,112.647,111.297,109.850,109.267,109.987,110.443,109.460,105.833,102.567,93.537,81.077,68.617,58.753,56.330,55.463,60.389,62.463,62.980,62.730,63.315,63.899,64.371,64.804,65.396,65.822,66.234,66.488,66.827,67.142,67.541,67.798,$/bbl
GOArabGulf0_25,118.105,115.825,113.129,108.571,96.914,90.414,73.771,59.511,68.213,67.235,69.104,74.502,70.073,70.272,70.658,71.057,71.585,72.027,72.324,72.181,72.505,72.955,73.443,73.838,74.171,74.074,74.100,74.354,74.428,74.569,74.845,$/bbl
JKM,12.139,10.812,11.427,13.969,13.890,10.768,10.012,8.806,6.901,7.564,7.085,7.478,7.560,7.550,7.850,7.950,8.000,8.730,9.460,9.590,9.630,9.420,9.000,8.730,8.620,8.640,8.670,8.680,8.940,9.560,9.860,$/mmbtu
JLC,,,,,,,,,,,,,,9.604,9.604,9.786,9.857,9.857,9.990,10.045,10.114,10.174,10.224,10.224,10.322,10.360,10.397,10.433,10.433,10.497,10.531,$/mmbtu
NBP_GBP,41.630,39.120,39.700,45.040,51.330,52.950,58.580,50.280,47.880,53.030,48.240,44.050,42.130,42.470,42.360,42.570,44.350,47.440,48.990,49.890,50.130,48.730,46.000,44.260,43.540,43.650,43.880,43.940,45.630,49.680,51.640,GBPp/therm
NBP_USD,7.038,6.674,6.630,7.343,8.250,8.353,9.160,7.626,7.343,7.933,7.216,6.808,6.463,6.519,6.502,6.534,6.808,7.282,7.520,7.658,7.695,7.480,7.061,6.794,6.683,6.700,6.736,6.745,7.004,7.626,7.927,$/mmbtu
ZEE_USD,6.886,6.497,6.778,7.852,7.921,8.392,8.155,6.747,7.481,6.846,6.859,6.710,6.662,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,6.666,$/mmbtu
TTF_USD,6.974,6.580,7.056,8.279,8.503,8.499,8.187,6.760,7.385,6.839,6.754,6.683,6.604,6.593,6.593,6.629,6.737,6.965,7.110,7.182,7.221,7.074,6.881,6.821,6.780,6.707,6.727,6.788,7.076,7.243,7.350,$/mmbtu
PEGS_USD,8.765,8.606,7.950,10.404,9.210,8.430,8.316,7.286,7.926,7.119,6.950,6.961,6.774,6.706,6.720,6.761,6.920,7.134,7.305,7.366,7.352,7.251,7.113,6.964,6.834,6.822,6.857,6.951,7.235,7.431,7.619,$/mmbtu
PEGN_USD,7.220,6.831,6.972,8.173,8.114,8.424,8.308,6.945,7.746,7.010,6.918,6.810,6.733,6.691,6.705,6.746,6.905,7.119,7.290,7.351,7.337,7.236,7.098,6.949,6.819,6.807,6.842,6.936,7.220,7.416,7.604,$/mmbtu
AOC_TTF_Premium,8.480,7.850,8.150,5.650,8.600,2.900,2.450,1.950,3.400,1.100,0.650,1.250,1.200,1.000,1.050,1.050,1.950,1.950,1.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,€/Mwh
EURO_AOC,27.200,25.000,25.500,25.000,30.800,25.300,26.900,23.100,23.700,24.600,22.500,21.900,21.600,21.000,21.050,21.100,23.000,23.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,€/Mwh
USD_AOC_M,10.850,10.020,10.110,9.800,11.470,9.290,10.545,9.055,9.290,9.643,8.820,8.585,8.467,8.232,8.252,8.271,9.016,9.016,9.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,$/mmbtu
SMP_EURMwh,50.950,48.210,49.910,58.890,55.122,46.799,47.472,51.597,42.568,43.115,45.338,45.121,56.348,52.898,51.168,54.000,48.449,48.449,48.449,47.449,47.449,47.449,47.449,47.449,47.449,47.449,47.449,47.449,47.449,47.449,47.449,€/Mwh
SMPpkwh,7.056,8.477,8.022,8.304,9.798,9.172,7.787,7.899,8.585,7.083,7.174,7.544,7.508,9.375,8.802,8.514,8.985,8.061,8.061,8.061,7.895,7.895,7.895,7.895,7.895,7.895,7.895,7.895,7.895,7.895,7.895,p/kwh
SMP_USD,20.299,19.128,19.478,22.247,20.472,17.099,17.289,17.623,14.163,13.683,14.322,14.750,18.643,17.545,16.971,17.910,16.069,16.069,16.069,15.738,15.738,15.738,15.738,15.738,15.738,15.738,15.738,15.738,15.738,15.738,15.738,$/mmbtu
USD_GBP,1.691,1.706,1.670,1.630,1.607,1.578,1.564,1.517,1.534,1.496,1.496,1.546,1.534,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.535,GBP/$
USD_EURECB,1.359,1.354,1.332,1.290,1.267,1.247,1.233,1.162,1.135,1.084,1.078,1.115,1.128,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,1.132,EUR/$
USPPI2002_t4,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.438,1.438,1.438,1.438,1.438,1.438,1.438,1.438,1.438,1.438,1.438,1.438,1.466,1.466,1.466,1.466,1.466,1.466,1.466,1.466,1.466,1.466,1.466,1.466,
SPCPI2002_bb,1.360,1.360,1.360,1.360,1.360,1.360,1.367,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.383,1.383,1.383,1.383,1.383,1.383,1.383,1.383,1.383,1.383,1.383,1.405,
SPCPI2006_gn,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.161,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.166,1.166,
LNGAP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.550,7.550,7.850,7.950,8.000,8.730,9.460,9.590,9.630,9.420,9.000,8.730,8.620,8.640,8.670,8.680,8.940,9.560,9.860,$/mmbtu
